"MTU (CET/CEST)","Generation - Solar  [MW] Day Ahead/ BZN|DK1","Generation - Solar  [MW] Intraday / BZN|DK1","Generation - Solar  [MW] Current / BZN|DK1","Generation - Wind Offshore  [MW] Day Ahead/ BZN|DK1","Generation - Wind Offshore  [MW] Intraday / BZN|DK1","Generation - Wind Offshore  [MW] Current / BZN|DK1","Generation - Wind Onshore  [MW] Day Ahead/ BZN|DK1","Generation - Wind Onshore  [MW] Intraday / BZN|DK1","Generation - Wind Onshore  [MW] Current / BZN|DK1"
"03.01.2020 03:00 - 03.01.2020 04:00","0","n/e","n/e","1023","n/e","n/e","2321","n/e","n/e"
"03.01.2020 04:00 - 03.01.2020 05:00","0","n/e","n/e","1023","n/e","n/e","2292","n/e","n/e"
"03.01.2020 05:00 - 03.01.2020 06:00","0","n/e","n/e","976","n/e","n/e","2243","n/e","n/e"
"03.01.2020 06:00 - 03.01.2020 07:00","0","n/e","n/e","779","n/e","n/e","2124","n/e","n/e"
"03.01.2020 07:00 - 03.01.2020 08:00","0","n/e","n/e","771","n/e","n/e","1944","n/e","n/e"
"03.01.2020 08:00 - 03.01.2020 09:00","0","n/e","n/e","900","n/e","n/e","1744","n/e","n/e"
"03.01.2020 09:00 - 03.01.2020 10:00","4","n/e","n/e","1035","n/e","n/e","1974","n/e","n/e"
"03.01.2020 10:00 - 03.01.2020 11:00","21","n/e","n/e","980","n/e","n/e","1663","n/e","n/e"
"03.01.2020 11:00 - 03.01.2020 12:00","44","n/e","n/e","992","n/e","n/e","1586","n/e","n/e"
"03.01.2020 12:00 - 03.01.2020 13:00","55","n/e","n/e","1031","n/e","n/e","1552","n/e","n/e"
"03.01.2020 13:00 - 03.01.2020 14:00","54","n/e","n/e","1065","n/e","n/e","1520","n/e","n/e"
"03.01.2020 14:00 - 03.01.2020 15:00","37","n/e","n/e","1088","n/e","n/e","1483","n/e","n/e"
"03.01.2020 15:00 - 03.01.2020 16:00","10","n/e","n/e","1103","n/e","n/e","1517","n/e","n/e"
"03.01.2020 16:00 - 03.01.2020 17:00","0","n/e","n/e","1117","n/e","n/e","1675","n/e","n/e"
"03.01.2020 17:00 - 03.01.2020 18:00","0","n/e","n/e","1130","n/e","n/e","1921","n/e","n/e"
"03.01.2020 18:00 - 03.01.2020 19:00","0","n/e","n/e","1134","n/e","n/e","2116","n/e","n/e"
"03.01.2020 19:00 - 03.01.2020 20:00","0","n/e","n/e","1138","n/e","n/e","2225","n/e","n/e"
"03.01.2020 20:00 - 03.01.2020 21:00","0","n/e","n/e","1140","n/e","n/e","2336","n/e","n/e"
"03.01.2020 21:00 - 03.01.2020 22:00","0","n/e","n/e","1141","n/e","n/e","2486","n/e","n/e"
"03.01.2020 22:00 - 03.01.2020 23:00","0","n/e","n/e","1142","n/e","n/e","2605","n/e","n/e"
"03.01.2020 23:00 - 04.01.2020 00:00","0","n/e","n/e","1141","n/e","n/e","2689","n/e","n/e"
"04.01.2020 00:00 - 04.01.2020 01:00","0","n/e","n/e","662","n/e","n/e","2185","n/e","n/e"
"04.01.2020 01:00 - 04.01.2020 02:00","0","n/e","n/e","817","n/e","n/e","2255","n/e","n/e"
"04.01.2020 02:00 - 04.01.2020 03:00","0","n/e","n/e","914","n/e","n/e","2233","n/e","n/e"
"04.01.2020 03:00 - 04.01.2020 04:00","0","n/e","n/e","924","n/e","n/e","2214","n/e","n/e"
"04.01.2020 04:00 - 04.01.2020 05:00","0","n/e","n/e","782","n/e","n/e","2108","n/e","n/e"
"04.01.2020 05:00 - 04.01.2020 06:00","0","n/e","n/e","771","n/e","n/e","2075","n/e","n/e"
"04.01.2020 06:00 - 04.01.2020 07:00","0","n/e","n/e","1028","n/e","n/e","2082","n/e","n/e"
"04.01.2020 07:00 - 04.01.2020 08:00","0","n/e","n/e","1077","n/e","n/e","2116","n/e","n/e"
"04.01.2020 08:00 - 04.01.2020 09:00","0","n/e","n/e","1115","n/e","n/e","2640","n/e","n/e"
"04.01.2020 09:00 - 04.01.2020 10:00","13","n/e","n/e","1129","n/e","n/e","2691","n/e","n/e"
"04.01.2020 10:00 - 04.01.2020 11:00","56","n/e","n/e","1126","n/e","n/e","2640","n/e","n/e"
"04.01.2020 11:00 - 04.01.2020 12:00","97","n/e","n/e","1127","n/e","n/e","2706","n/e","n/e"
"04.01.2020 12:00 - 04.01.2020 13:00","115","n/e","n/e","1126","n/e","n/e","2752","n/e","n/e"
"04.01.2020 13:00 - 04.01.2020 14:00","101","n/e","n/e","1126","n/e","n/e","2770","n/e","n/e"
"04.01.2020 14:00 - 04.01.2020 15:00","58","n/e","n/e","1128","n/e","n/e","2707","n/e","n/e"
"04.01.2020 15:00 - 04.01.2020 16:00","16","n/e","n/e","1130","n/e","n/e","2634","n/e","n/e"
"04.01.2020 16:00 - 04.01.2020 17:00","0","n/e","n/e","1131","n/e","n/e","2441","n/e","n/e"
"04.01.2020 17:00 - 04.01.2020 18:00","0","n/e","n/e","1124","n/e","n/e","2170","n/e","n/e"
"04.01.2020 18:00 - 04.01.2020 19:00","0","n/e","n/e","1105","n/e","n/e","1858","n/e","n/e"
"04.01.2020 19:00 - 04.01.2020 20:00","0","n/e","n/e","1056","n/e","n/e","1566","n/e","n/e"
"04.01.2020 20:00 - 04.01.2020 21:00","0","n/e","n/e","945","n/e","n/e","1324","n/e","n/e"
"04.01.2020 21:00 - 04.01.2020 22:00","0","n/e","n/e","779","n/e","n/e","1096","n/e","n/e"
"04.01.2020 22:00 - 04.01.2020 23:00","0","n/e","n/e","596","n/e","n/e","849","n/e","n/e"
"04.01.2020 23:00 - 05.01.2020 00:00","0","n/e","n/e","431","n/e","n/e","648","n/e","n/e"
"05.01.2020 00:00 - 05.01.2020 01:00","0","n/e","n/e","275","n/e","n/e","357","n/e","n/e"
"05.01.2020 01:00 - 05.01.2020 02:00","0","n/e","n/e","190","n/e","n/e","353","n/e","n/e"
"05.01.2020 02:00 - 05.01.2020 03:00","0","n/e","n/e","171","n/e","n/e","292","n/e","n/e"
"05.01.2020 03:00 - 05.01.2020 04:00","0","n/e","n/e","183","n/e","n/e","265","n/e","n/e"
"05.01.2020 04:00 - 05.01.2020 05:00","0","n/e","n/e","226","n/e","n/e","400","n/e","n/e"
"05.01.2020 05:00 - 05.01.2020 06:00","0","n/e","n/e","351","n/e","n/e","490","n/e","n/e"
"05.01.2020 06:00 - 05.01.2020 07:00","0","n/e","n/e","358","n/e","n/e","579","n/e","n/e"
"05.01.2020 07:00 - 05.01.2020 08:00","0","n/e","n/e","474","n/e","n/e","703","n/e","n/e"
"05.01.2020 08:00 - 05.01.2020 09:00","0","n/e","n/e","583","n/e","n/e","842","n/e","n/e"
"05.01.2020 09:00 - 05.01.2020 10:00","4","n/e","n/e","737","n/e","n/e","1027","n/e","n/e"
"05.01.2020 10:00 - 05.01.2020 11:00","11","n/e","n/e","889","n/e","n/e","1181","n/e","n/e"
"05.01.2020 11:00 - 05.01.2020 12:00","24","n/e","n/e","989","n/e","n/e","1405","n/e","n/e"
"05.01.2020 12:00 - 05.01.2020 13:00","29","n/e","n/e","1037","n/e","n/e","1578","n/e","n/e"
"05.01.2020 13:00 - 05.01.2020 14:00","28","n/e","n/e","1048","n/e","n/e","1656","n/e","n/e"
"05.01.2020 14:00 - 05.01.2020 15:00","19","n/e","n/e","1046","n/e","n/e","1673","n/e","n/e"
"05.01.2020 15:00 - 05.01.2020 16:00","6","n/e","n/e","1044","n/e","n/e","1705","n/e","n/e"
"05.01.2020 16:00 - 05.01.2020 17:00","0","n/e","n/e","1039","n/e","n/e","1749","n/e","n/e"
"05.01.2020 17:00 - 05.01.2020 18:00","0","n/e","n/e","1035","n/e","n/e","1771","n/e","n/e"
"05.01.2020 18:00 - 05.01.2020 19:00","0","n/e","n/e","1041","n/e","n/e","1777","n/e","n/e"
"05.01.2020 19:00 - 05.01.2020 20:00","0","n/e","n/e","1045","n/e","n/e","1764","n/e","n/e"
"05.01.2020 20:00 - 05.01.2020 21:00","0","n/e","n/e","1044","n/e","n/e","1778","n/e","n/e"
"05.01.2020 21:00 - 05.01.2020 22:00","0","n/e","n/e","1040","n/e","n/e","1817","n/e","n/e"
"05.01.2020 22:00 - 05.01.2020 23:00","0","n/e","n/e","1035","n/e","n/e","1810","n/e","n/e"
"05.01.2020 23:00 - 06.01.2020 00:00","0","n/e","n/e","1030","n/e","n/e","1767","n/e","n/e"
"06.01.2020 00:00 - 06.01.2020 01:00","0","n/e","n/e","928","n/e","n/e","1232","n/e","n/e"
"06.01.2020 01:00 - 06.01.2020 02:00","0","n/e","n/e","959","n/e","n/e","1254","n/e","n/e"
"06.01.2020 02:00 - 06.01.2020 03:00","0","n/e","n/e","1018","n/e","n/e","1246","n/e","n/e"
"06.01.2020 03:00 - 06.01.2020 04:00","0","n/e","n/e","935","n/e","n/e","1213","n/e","n/e"
"06.01.2020 04:00 - 06.01.2020 05:00","0","n/e","n/e","853","n/e","n/e","1064","n/e","n/e"
"06.01.2020 05:00 - 06.01.2020 06:00","0","n/e","n/e","612","n/e","n/e","989","n/e","n/e"
"06.01.2020 06:00 - 06.01.2020 07:00","0","n/e","n/e","627","n/e","n/e","953","n/e","n/e"
"06.01.2020 07:00 - 06.01.2020 08:00","0","n/e","n/e","666","n/e","n/e","979","n/e","n/e"
"06.01.2020 08:00 - 06.01.2020 09:00","0","n/e","n/e","832","n/e","n/e","1028","n/e","n/e"
"06.01.2020 09:00 - 06.01.2020 10:00","3","n/e","n/e","756","n/e","n/e","1187","n/e","n/e"
"06.01.2020 10:00 - 06.01.2020 11:00","10","n/e","n/e","858","n/e","n/e","1260","n/e","n/e"
"06.01.2020 11:00 - 06.01.2020 12:00","15","n/e","n/e","870","n/e","n/e","1335","n/e","n/e"
"06.01.2020 12:00 - 06.01.2020 13:00","20","n/e","n/e","831","n/e","n/e","1422","n/e","n/e"
"06.01.2020 13:00 - 06.01.2020 14:00","21","n/e","n/e","824","n/e","n/e","1456","n/e","n/e"
"06.01.2020 14:00 - 06.01.2020 15:00","14","n/e","n/e","843","n/e","n/e","1505","n/e","n/e"
"06.01.2020 15:00 - 06.01.2020 16:00","4","n/e","n/e","918","n/e","n/e","1588","n/e","n/e"
"06.01.2020 16:00 - 06.01.2020 17:00","0","n/e","n/e","992","n/e","n/e","1683","n/e","n/e"
"06.01.2020 17:00 - 06.01.2020 18:00","0","n/e","n/e","1028","n/e","n/e","1747","n/e","n/e"
"06.01.2020 18:00 - 06.01.2020 19:00","0","n/e","n/e","1057","n/e","n/e","1811","n/e","n/e"
"06.01.2020 19:00 - 06.01.2020 20:00","0","n/e","n/e","1078","n/e","n/e","1774","n/e","n/e"
"06.01.2020 20:00 - 06.01.2020 21:00","0","n/e","n/e","1085","n/e","n/e","1785","n/e","n/e"
"06.01.2020 21:00 - 06.01.2020 22:00","0","n/e","n/e","1078","n/e","n/e","1794","n/e","n/e"
"06.01.2020 22:00 - 06.01.2020 23:00","0","n/e","n/e","1058","n/e","n/e","1711","n/e","n/e"
"06.01.2020 23:00 - 07.01.2020 00:00","0","n/e","n/e","1034","n/e","n/e","1482","n/e","n/e"
"07.01.2020 00:00 - 07.01.2020 01:00","0","n/e","n/e","973","n/e","n/e","1579","n/e","n/e"
"07.01.2020 01:00 - 07.01.2020 02:00","0","n/e","n/e","975","n/e","n/e","1409","n/e","n/e"
"07.01.2020 02:00 - 07.01.2020 03:00","0","n/e","n/e","1012","n/e","n/e","1337","n/e","n/e"
"07.01.2020 03:00 - 07.01.2020 04:00","0","n/e","n/e","1006","n/e","n/e","1224","n/e","n/e"
"07.01.2020 04:00 - 07.01.2020 05:00","0","n/e","n/e","1063","n/e","n/e","1047","n/e","n/e"
"07.01.2020 05:00 - 07.01.2020 06:00","0","n/e","n/e","1059","n/e","n/e","898","n/e","n/e"
"07.01.2020 06:00 - 07.01.2020 07:00","0","n/e","n/e","1066","n/e","n/e","857","n/e","n/e"
"07.01.2020 07:00 - 07.01.2020 08:00","0","n/e","n/e","993","n/e","n/e","927","n/e","n/e"
"07.01.2020 08:00 - 07.01.2020 09:00","0","n/e","n/e","777","n/e","n/e","947","n/e","n/e"
"07.01.2020 09:00 - 07.01.2020 10:00","14","n/e","n/e","669","n/e","n/e","859","n/e","n/e"
"07.01.2020 10:00 - 07.01.2020 11:00","53","n/e","n/e","628","n/e","n/e","755","n/e","n/e"
"07.01.2020 11:00 - 07.01.2020 12:00","96","n/e","n/e","643","n/e","n/e","700","n/e","n/e"
"07.01.2020 12:00 - 07.01.2020 13:00","119","n/e","n/e","722","n/e","n/e","711","n/e","n/e"
"07.01.2020 13:00 - 07.01.2020 14:00","107","n/e","n/e","817","n/e","n/e","851","n/e","n/e"
"07.01.2020 14:00 - 07.01.2020 15:00","65","n/e","n/e","900","n/e","n/e","1106","n/e","n/e"
"07.01.2020 15:00 - 07.01.2020 16:00","18","n/e","n/e","985","n/e","n/e","1426","n/e","n/e"
"07.01.2020 16:00 - 07.01.2020 17:00","0","n/e","n/e","1069","n/e","n/e","1772","n/e","n/e"
"07.01.2020 17:00 - 07.01.2020 18:00","0","n/e","n/e","1117","n/e","n/e","2130","n/e","n/e"
"07.01.2020 18:00 - 07.01.2020 19:00","0","n/e","n/e","1128","n/e","n/e","2377","n/e","n/e"
"07.01.2020 19:00 - 07.01.2020 20:00","0","n/e","n/e","1127","n/e","n/e","2470","n/e","n/e"
"07.01.2020 20:00 - 07.01.2020 21:00","0","n/e","n/e","1127","n/e","n/e","2594","n/e","n/e"
"07.01.2020 21:00 - 07.01.2020 22:00","0","n/e","n/e","1126","n/e","n/e","2713","n/e","n/e"
"07.01.2020 22:00 - 07.01.2020 23:00","0","n/e","n/e","1123","n/e","n/e","2797","n/e","n/e"
"07.01.2020 23:00 - 08.01.2020 00:00","0","n/e","n/e","1122","n/e","n/e","2854","n/e","n/e"
"08.01.2020 00:00 - 08.01.2020 01:00","0","n/e","n/e","1014","n/e","n/e","2586","n/e","n/e"
"08.01.2020 01:00 - 08.01.2020 02:00","0","n/e","n/e","1112","n/e","n/e","2756","n/e","n/e"
"08.01.2020 02:00 - 08.01.2020 03:00","0","n/e","n/e","1110","n/e","n/e","2869","n/e","n/e"
"08.01.2020 03:00 - 08.01.2020 04:00","0","n/e","n/e","1124","n/e","n/e","2772","n/e","n/e"
"08.01.2020 04:00 - 08.01.2020 05:00","0","n/e","n/e","1117","n/e","n/e","2726","n/e","n/e"
"08.01.2020 05:00 - 08.01.2020 06:00","0","n/e","n/e","1022","n/e","n/e","2482","n/e","n/e"
"08.01.2020 06:00 - 08.01.2020 07:00","0","n/e","n/e","1022","n/e","n/e","2484","n/e","n/e"
"08.01.2020 07:00 - 08.01.2020 08:00","0","n/e","n/e","1026","n/e","n/e","2399","n/e","n/e"
"08.01.2020 08:00 - 08.01.2020 09:00","0","n/e","n/e","1122","n/e","n/e","2436","n/e","n/e"
"08.01.2020 09:00 - 08.01.2020 10:00","12","n/e","n/e","1114","n/e","n/e","2376","n/e","n/e"
