"MTU (CET/CEST)","Generation - Solar  [MW] Day Ahead/ BZN|DK1","Generation - Solar  [MW] Intraday / BZN|DK1","Generation - Solar  [MW] Current / BZN|DK1","Generation - Wind Offshore  [MW] Day Ahead/ BZN|DK1","Generation - Wind Offshore  [MW] Intraday / BZN|DK1","Generation - Wind Offshore  [MW] Current / BZN|DK1","Generation - Wind Onshore  [MW] Day Ahead/ BZN|DK1","Generation - Wind Onshore  [MW] Intraday / BZN|DK1","Generation - Wind Onshore  [MW] Current / BZN|DK1"
"01.01.2021 00:00 - 01.01.2021 01:00","0","N/A","0","249","N/A","87","96","N/A","86"
"01.01.2021 01:00 - 01.01.2021 02:00","0","N/A","0","136","N/A","79","84","N/A","71"
"01.01.2021 02:00 - 01.01.2021 03:00","0","N/A","0","101","N/A","66","70","N/A","55"
"01.01.2021 03:00 - 01.01.2021 04:00","0","N/A","0","71","N/A","69","61","N/A","37"
"01.01.2021 04:00 - 01.01.2021 05:00","0","N/A","0","63","N/A","55","54","N/A","31"
"01.01.2021 05:00 - 01.01.2021 06:00","0","N/A","0","58","N/A","58","43","N/A","27"
"01.01.2021 06:00 - 01.01.2021 07:00","0","N/A","0","58","N/A","34","37","N/A","20"
"01.01.2021 07:00 - 01.01.2021 08:00","0","N/A","0","88","N/A","37","37","N/A","24"
"01.01.2021 08:00 - 01.01.2021 09:00","0","0","0","161","62","62","41","23","23"
"01.01.2021 09:00 - 01.01.2021 10:00","6","7","7","159","75","45","52","37","24"
"01.01.2021 10:00 - 01.01.2021 11:00","23","28","28","172","70","59","61","49","27"
"01.01.2021 11:00 - 01.01.2021 12:00","35","47","58","143","68","63","68","54","23"
"01.01.2021 12:00 - 01.01.2021 13:00","41","56","64","97","72","49","67","54","19"
"01.01.2021 13:00 - 01.01.2021 14:00","36","47","53","72","64","19","60","54","12"
"01.01.2021 14:00 - 01.01.2021 15:00","18","23","32","66","44","16","62","56","14"
"01.01.2021 15:00 - 01.01.2021 16:00","3","4","9","90","41","21","69","59","15"
"01.01.2021 16:00 - 01.01.2021 17:00","0","0","2","94","30","16","79","63","21"
"01.01.2021 17:00 - 01.01.2021 18:00","0","0","0","84","37","9","76","66","23"
"01.01.2021 18:00 - 01.01.2021 19:00","0","0","0","69","49","28","68","55","36"
"01.01.2021 19:00 - 01.01.2021 20:00","0","0","0","55","48","41","66","41","44"
"01.01.2021 20:00 - 01.01.2021 21:00","0","0","0","34","41","23","64","38","31"
"01.01.2021 21:00 - 01.01.2021 22:00","0","0","0","21","35","7","53","34","31"
"01.01.2021 22:00 - 01.01.2021 23:00","0","0","0","19","26","4","44","27","18"
"01.01.2021 23:00 - 02.01.2021 00:00","0","0","0","15","20","1","39","20","18"
"02.01.2021 00:00 - 02.01.2021 01:00","0","N/A","0","17","N/A","10","74","N/A","13"
"02.01.2021 01:00 - 02.01.2021 02:00","0","N/A","0","22","N/A","21","76","N/A","23"
"02.01.2021 02:00 - 02.01.2021 03:00","0","N/A","0","28","N/A","7","77","N/A","26"
"02.01.2021 03:00 - 02.01.2021 04:00","0","N/A","0","25","N/A","6","76","N/A","18"
"02.01.2021 04:00 - 02.01.2021 05:00","0","N/A","0","29","N/A","26","64","N/A","23"
"02.01.2021 05:00 - 02.01.2021 06:00","0","N/A","0","33","N/A","32","48","N/A","19"
"02.01.2021 06:00 - 02.01.2021 07:00","0","N/A","0","44","N/A","55","44","N/A","19"
"02.01.2021 07:00 - 02.01.2021 08:00","0","N/A","0","52","N/A","40","45","N/A","21"
"02.01.2021 08:00 - 02.01.2021 09:00","0","0","0","59","32","31","43","28","28"
"02.01.2021 09:00 - 02.01.2021 10:00","10","9","9","54","36","33","44","38","23"
"02.01.2021 10:00 - 02.01.2021 11:00","39","32","35","49","35","29","46","38","18"
"02.01.2021 11:00 - 02.01.2021 12:00","63","57","81","42","25","25","48","41","21"
"02.01.2021 12:00 - 02.01.2021 13:00","70","77","102","39","26","42","49","47","28"
"02.01.2021 13:00 - 02.01.2021 14:00","58","64","83","40","37","30","43","57","29"
"02.01.2021 14:00 - 02.01.2021 15:00","31","35","39","50","46","29","50","71","38"
"02.01.2021 15:00 - 02.01.2021 16:00","6","8","9","86","68","45","57","81","40"
"02.01.2021 16:00 - 02.01.2021 17:00","0","0","0","111","73","56","73","106","54"
"02.01.2021 17:00 - 02.01.2021 18:00","0","0","0","128","105","95","90","124","71"
"02.01.2021 18:00 - 02.01.2021 19:00","0","0","0","155","152","85","102","129","119"
"02.01.2021 19:00 - 02.01.2021 20:00","0","0","0","185","165","123","121","143","155"
"02.01.2021 20:00 - 02.01.2021 21:00","0","0","0","188","179","156","128","155","188"
"02.01.2021 21:00 - 02.01.2021 22:00","0","0","0","179","195","214","132","155","248"
"02.01.2021 22:00 - 02.01.2021 23:00","0","0","0","191","215","267","150","160","255"
"02.01.2021 23:00 - 03.01.2021 00:00","0","0","0","178","223","264","169","178","222"
"03.01.2021 00:00 - 03.01.2021 01:00","0","N/A","0","229","N/A","239","249","N/A","289"
"03.01.2021 01:00 - 03.01.2021 02:00","0","N/A","0","232","N/A","252","294","N/A","321"
"03.01.2021 02:00 - 03.01.2021 03:00","0","N/A","0","281","N/A","278","349","N/A","367"
"03.01.2021 03:00 - 03.01.2021 04:00","0","N/A","0","325","N/A","357","383","N/A","447"
"03.01.2021 04:00 - 03.01.2021 05:00","0","N/A","0","387","N/A","513","432","N/A","509"
"03.01.2021 05:00 - 03.01.2021 06:00","0","N/A","0","462","N/A","441","511","N/A","456"
"03.01.2021 06:00 - 03.01.2021 07:00","0","N/A","0","528","N/A","554","581","N/A","481"
"03.01.2021 07:00 - 03.01.2021 08:00","0","N/A","0","598","N/A","681","607","N/A","391"
"03.01.2021 08:00 - 03.01.2021 09:00","0","0","0","643","664","664","679","414","414"
"03.01.2021 09:00 - 03.01.2021 10:00","10","11","12","702","732","828","762","774","504"
"03.01.2021 10:00 - 03.01.2021 11:00","38","40","32","793","788","731","814","834","559"
"03.01.2021 11:00 - 03.01.2021 12:00","64","69","49","809","834","746","903","925","747"
"03.01.2021 12:00 - 03.01.2021 13:00","72","72","57","805","831","738","936","944","636"
"03.01.2021 13:00 - 03.01.2021 14:00","62","63","58","848","821","778","1012","1021","555"
"03.01.2021 14:00 - 03.01.2021 15:00","34","37","30","898","855","723","1062","1074","770"
"03.01.2021 15:00 - 03.01.2021 16:00","7","8","7","970","902","721","1125","1134","747"
"03.01.2021 16:00 - 03.01.2021 17:00","0","0","0","1000","941","768","1268","1249","850"
"03.01.2021 17:00 - 03.01.2021 18:00","0","0","0","994","974","729","1265","1240","885"
"03.01.2021 18:00 - 03.01.2021 19:00","0","0","0","984","990","956","1227","1195","1322"
"03.01.2021 19:00 - 03.01.2021 20:00","0","0","0","950","961","893","1197","1161","786"
"03.01.2021 20:00 - 03.01.2021 21:00","0","0","0","944","939","709","1170","1165","906"
"03.01.2021 21:00 - 03.01.2021 22:00","0","0","0","906","898","675","1128","1104","859"
